,age,gender,region_category,membership_category,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
0,18,0,2,3,0,1,1,2,17,300.63,53005.25,17.0,781.75,1,1,0,0,4,2
1,32,0,0,4,0,1,1,1,16,306.34,12838.38,10.0,686.8821987429081,1,0,1,1,5,1
2,44,0,1,2,1,1,1,2,14,516.16,21027.0,22.0,500.69,0,1,1,2,3,5
3,37,1,0,2,1,1,1,1,11,53.27,25239.56,6.0,567.66,0,1,1,3,3,5
4,31,0,0,2,0,0,2,1,20,113.13,24483.66,16.0,663.06,0,1,1,1,3,5
5,13,1,0,1,0,1,2,2,23,433.62,13884.77,24.0,722.27,1,0,1,3,0,3
6,21,1,1,1,1,1,1,1,10,55.38,8982.5,28.0,756.21,1,0,1,2,0,3
7,42,1,1,2,0,0,0,0,19,429.11,44554.82,24.0,568.08,0,1,1,3,2,5
8,44,1,2,5,0,2,2,0,15,191.07,18362.31,20.0,686.8821987429081,1,0,1,2,1,3
9,45,0,1,2,0,1,1,2,10,97.31,19244.16,28.0,706.23,0,1,1,1,1,4
10,25,0,2,0,1,1,0,2,14,570.23,35119.93,8.0,699.7,1,1,0,0,2,5
11,60,1,0,1,0,1,2,2,14,55.53,41672.02,33.02434314076341,798.12,1,0,0,0,7,3
12,11,1,1,2,0,0,2,0,13,41.09,44007.18,18.0,608.26,1,0,1,3,1,4
13,34,1,0,0,1,1,2,0,10,89.76,21318.19,6.0,686.8821987429081,0,1,0,0,2,4
14,40,1,0,4,0,2,2,0,20,100.59,14842.62,26.0,686.8821987429081,0,1,0,0,3,3
15,16,0,1,0,1,0,2,0,-999,30.14,18792.31,7.0,141.5132013118415,1,0,1,3,7,5
16,57,0,0,2,0,2,2,2,5,333.34,47241.32,8.0,686.8821987429081,1,1,1,2,7,5
17,11,1,1,5,1,1,1,2,12,275.13,29072.86,26.0,733.97,1,0,0,0,1,3
18,39,1,1,2,0,0,2,0,9,241.74,33170.16,6.0,551.11,1,0,1,1,0,5
19,45,1,0,4,0,2,1,1,14,31.15,66982.61,8.0,164.80076897738957,1,0,1,3,4,2
20,33,1,2,2,0,2,1,2,15,49.86,44289.97,25.0,703.96,1,0,0,0,1,4
21,30,1,2,2,1,1,2,1,21,30.37,49404.86,23.0,630.61,1,0,1,1,3,5
22,19,0,1,3,0,1,2,1,15,483.03,52702.67,3.0,389.3564431980522,0,1,1,3,8,2
23,48,1,1,0,1,2,2,0,12,72.52,15860.41,3.2073857931601104,529.03,0,1,0,0,0,4
24,43,1,0,2,0,0,1,0,17,108.3,21725.57,21.0,225.00442762412771,0,1,0,0,3,4
25,29,0,1,5,0,2,1,0,18,300.38,12069.06,7.0,777.31,0,1,0,0,7,3
26,10,1,0,1,1,0,2,2,1,100.65,8515.5,6.0,757.7,1,0,0,0,0,3
27,20,0,2,2,0,1,1,2,22,272.31,42743.44,12.0,687.26,1,0,0,0,2,5
28,61,0,2,5,1,1,2,0,17,-936.7448179192272,29156.1,10.0,710.38,1,0,1,2,0,4
29,10,1,1,1,0,0,1,2,4,127.37,15719.24,10.0,634.88,1,0,1,3,3,4
30,17,0,0,2,0,2,1,0,20,162.93,31100.95,11.0,633.05,0,1,1,1,7,5
31,60,1,1,2,1,2,1,0,18,498.09,48125.94,27.0,686.8821987429081,0,1,0,0,2,5
32,11,0,1,1,1,2,1,2,10,185.53,60143.68,4.0,836.08,1,0,1,2,8,1
33,60,1,0,1,1,1,0,0,11,537.25,1773.49,6.0,711.76,1,1,0,0,2,3
34,12,1,0,4,0,0,1,2,8,198.26,26105.24,7.0,721.36,1,0,0,0,1,3
35,52,1,1,5,0,1,2,2,9,119.47,10101.48,28.0,158.54776452544024,1,0,0,0,3,4
36,30,1,0,0,1,1,2,1,15,68.19,21111.9,23.0,574.01,1,1,1,2,1,5
37,26,1,0,2,1,2,1,2,3,215.89,41979.65,9.0,686.8821987429081,0,1,0,0,7,5
38,26,0,1,2,1,2,1,2,20,194.85,5912.06,13.0,568.34,1,0,0,0,7,5
39,49,0,2,3,1,0,0,0,8,706.36,19062.25,15.976715237406287,780.58,1,0,0,0,2,3
40,24,1,0,4,0,2,1,0,15,210.44,35531.98,25.0,745.49,1,0,0,0,2,3
41,22,1,1,2,1,2,1,2,4,-930.2078443168743,8415.63,17.0,650.44,0,1,1,2,7,5
42,33,0,1,4,0,0,1,2,12,394.26,34697.85,19.0,752.3,1,0,1,2,3,3
43,17,1,0,3,0,1,1,2,6,348.07,94100.72,4.0,824.95,1,1,0,0,8,1
44,36,1,2,5,1,1,1,1,2,691.09,17989.46,15.976715237406287,686.8821987429081,0,1,1,1,0,4
45,12,1,0,4,0,2,1,1,8,33.09,55607.35,15.976715237406287,686.8821987429081,1,0,0,0,8,1
46,58,0,2,1,0,2,2,1,11,30.78,48080.03,10.0,713.62,1,0,0,0,2,3
47,41,1,1,3,0,2,0,0,13,282.87,27528.03,27.0,743.8,1,0,0,0,3,3
48,30,1,0,3,1,1,2,2,20,100.42,86433.91,15.976715237406287,719.93,0,1,1,3,6,2
49,50,1,0,4,0,0,1,2,18,154.7,24197.4,29.0,686.8821987429081,0,1,1,1,7,3
50,23,1,2,1,1,2,1,2,10,65.25,5136.08,15.976715237406287,755.22,0,1,0,0,1,4
51,38,1,1,1,0,1,2,1,8,324.75,28535.13,27.0,770.31,1,1,1,1,1,3
52,20,1,0,5,1,2,1,0,16,237.39,25000.09,16.0,704.4,0,1,0,0,3,4
53,35,0,2,1,0,0,2,0,20,148.24,30984.56,11.0,729.04,1,0,0,0,1,3
54,43,1,1,4,1,2,0,2,16,773.83,9091.94,20.0,700.4,0,1,0,0,2,3
55,32,1,0,5,1,2,1,0,13,117.68,19822.82,43.36004149963438,686.8821987429081,1,0,0,0,7,3
56,40,0,1,3,0,1,2,0,18,251.06,63416.63,12.0,1087.184702164714,0,1,1,2,4,2
57,40,0,1,5,1,0,2,2,-999,46.57,24045.93,8.0,709.73,0,1,0,0,2,3
58,48,0,1,2,0,0,2,2,12,539.49,49270.76,12.0,503.95,1,0,0,0,7,5
59,35,1,1,4,0,1,2,1,12,34.48,48679.07,6.0,779.59,1,0,0,0,2,3
60,28,1,2,1,1,1,2,0,9,-615.344318961141,13131.05,13.0,820.91,1,1,0,0,5,1
61,44,0,2,2,1,2,0,2,13,283.49,7603.71,15.976715237406287,553.45,1,1,1,3,0,5
62,40,1,1,4,0,1,1,0,3,33.82,39735.58,25.0,784.32,1,0,1,2,7,5
